Kurskod;Kursnamn;Högskolepoäng;Anmälningskod;Årtal;Vecka;Studieplatser;Studietakt
DVG800;Examensarbete för högskoleingenjörsexamen i Datavetenskap;15.0;28416;2017;14;10;0.50
DVG800;Examensarbete för högskoleingenjörsexamen i Datavetenskap;15.0;28406;2018;13;10;0.50
DVG800;Examensarbete för högskoleingenjörsexamen i Datavetenskap;15.0;28402;2019;14;20;0.50
DVG800;Examensarbete för högskoleingenjörsexamen i Datavetenskap;15.0;28404;2020;14;30;0.50
DVG800;Examensarbete för högskoleingenjörsexamen i Datavetenskap;15.0;28405;2021;13;30;0.50
DVG800;Examensarbete för högskoleingenjörsexamen i Datavetenskap;15.0;28403;2022;13;25;0.50
DVG800;Examensarbete för högskoleingenjörsexamen i Datavetenskap;15.0;28419;2023;13;33;0.50
DVG800;Examensarbete för högskoleingenjörsexamen i Datavetenskap;15.0;28418;2024;13;25;1.00
DVG800;Examensarbete för högskoleingenjörsexamen i Datavetenskap;15.0;28418;2025;13;25;1.00
SBG800;Examensarbete för högskoleingenjörsexamen i lantmäteriteknik;15.0;27200;2015;14;5;0.50
SBG800;Examensarbete för högskoleingenjörsexamen i lantmäteriteknik;15.0;27201;2016;14;20;0.50
SBG800;Examensarbete för högskoleingenjörsexamen i lantmäteriteknik;15.0;27200;2021;13;30;0.50
SBG800;Examensarbete för högskoleingenjörsexamen i lantmäteriteknik;15.0;27200;2022;13;2;0.50
SBG800;Examensarbete för högskoleingenjörsexamen i lantmäteriteknik;15.0;27200;2023;13;13;0.50
SBG800;Examensarbete för högskoleingenjörsexamen i lantmäteriteknik;15.0;27200;2024;13;30;1.00
SBG800;Examensarbete för högskoleingenjörsexamen i lantmäteriteknik;15.0;27200;2025;13;30;1.00
MTG600;Examensarbete för högskoleingenjörsexamen i maskinteknik;15.0;26201;2015;14;30;0.50
MTG600;Examensarbete för högskoleingenjörsexamen i maskinteknik;15.0;26204;2016;14;15;0.50
MTG600;Examensarbete för högskoleingenjörsexamen i maskinteknik;15.0;26200;2017;14;30;0.50
MTG600;Examensarbete för högskoleingenjörsexamen i maskinteknik;15.0;26200;2018;13;20;0.50
MTG600;Examensarbete för högskoleingenjörsexamen i maskinteknik;15.0;26200;2019;14;15;0.50
SBG803;Examensarbete för kandidatexamen i Geografi;15.0;28500;2024;13;20;1.00
SBG803;Examensarbete för kandidatexamen i Geografi;15.0;28500;2025;13;20;1.00
SBG813;Examensarbete för kandidatexamen i Samhällsplanering;15.0;28611;2024;13;20;1.00
SBG813;Examensarbete för kandidatexamen i Samhällsplanering;15.0;28611;2025;13;20;1.00
MTG801;Examensarbete för kandidatexamen i maskinteknik;15.0;26202;2015;14;30;0.50
MTG801;Examensarbete för kandidatexamen i maskinteknik;15.0;26207;2016;14;15;0.50
MTG801;Examensarbete för kandidatexamen i maskinteknik;15.0;26207;2017;14;17;0.50
MTG801;Examensarbete för kandidatexamen i maskinteknik;15.0;26201;2018;13;3;0.50
MTG801;Examensarbete för kandidatexamen i maskinteknik;15.0;26201;2019;14;10;0.50
SBA805;Examensarbete för masterexamen i geospatial informationsvetenskap;30.0;27304;2020;4;5;0.50
SBA805;Examensarbete för masterexamen i geospatial informationsvetenskap;30.0;27302;2021;3;4;0.50
SBA805;Examensarbete för masterexamen i geospatial informationsvetenskap;30.0;27311;2023;3;2;0.50
SBA805;Examensarbete för masterexamen i geospatial informationsvetenskap;30.0;27307;2024;3;10;1.00
SBA805;Examensarbete för masterexamen i geospatial informationsvetenskap;30.0;27307;2025;3;10;1.00
IEA700;Examensarbete för teknologie magisterexamen inom Industriell ekonomi;15.0;27404;2016;14;15;0.50
IEA700;Examensarbete för teknologie magisterexamen inom Industriell ekonomi;15.0;27408;2017;14;6;0.50
IEA700;Examensarbete för teknologie magisterexamen inom Industriell ekonomi;15.0;27402;2018;13;15;0.50
IEA700;Examensarbete för teknologie magisterexamen inom Industriell ekonomi;15.0;27407;2019;14;20;0.50
IE746D;Examensarbete för teknologie magisterexamen med inriktning Industriell ekonomi;15.0;27400;2015;14;15;0.50
DV010C;Examensarbete i datavetenskap;15.0;28413;2013;14;30;0.50
DV010C;Examensarbete i datavetenskap;15.0;28405;2014;14;30;0.50
DV010C;Examensarbete i datavetenskap;15.0;28404;2015;14;15;0.50
DV010C;Examensarbete i datavetenskap;15.0;28412;2016;14;17;0.50
DV010C;Examensarbete i datavetenskap;15.0;28401;2017;14;12;0.50
DV010C;Examensarbete i datavetenskap;15.0;28407;2018;13;10;0.50
DV010C;Examensarbete i datavetenskap;15.0;28406;2019;14;15;0.50
DV010C;Examensarbete i datavetenskap;15.0;28414;2020;14;30;0.50
DV010C;Examensarbete i datavetenskap;15.0;28408;2021;13;30;0.50
DV010C;Examensarbete i datavetenskap;15.0;28404;2022;13;14;0.50
DV010C;Examensarbete i datavetenskap;15.0;28403;2024;13;10;1.00
DV010C;Examensarbete i datavetenskap;15.0;28403;2025;13;10;1.00
IEG800;Examensarbete inom Industriell ekonomi;15.0;27401;2015;14;29;0.50
IEG800;Examensarbete inom Industriell ekonomi;15.0;27409;2016;14;50;0.50
IEG800;Examensarbete inom Industriell ekonomi;15.0;27404;2017;14;50;0.50
IEG800;Examensarbete inom Industriell ekonomi;15.0;27403;2018;13;50;0.50
IEG800;Examensarbete inom Industriell ekonomi;15.0;27403;2019;14;70;0.50
DV017D;Examensarbete inom besluts-, risk- och policyanalys;15.0;28421;2015;4;40;0.50
DV017D;Examensarbete inom besluts-, risk- och policyanalys;15.0;28413;2016;4;40;0.50
DV017D;Examensarbete inom besluts-, risk- och policyanalys;15.0;28406;2017;4;18;0.50
DV017D;Examensarbete inom besluts-, risk- och policyanalys;15.0;28408;2018;3;15;0.50
DV017D;Examensarbete inom besluts-, risk- och policyanalys;15.0;28418;2019;4;20;0.50
DV017D;Examensarbete inom besluts-, risk- och policyanalys;15.0;28426;2020;4;28;0.50
BEA700;Examensarbete inom besluts-, risk- och policyanalys;15.0;28418;2021;3;15;0.50
DV017D;Examensarbete inom besluts-, risk- och policyanalys;15.0;28416;2021;3;5;0.50
BEA700;Examensarbete inom besluts-, risk- och policyanalys;15.0;18427;2021;35;18;0.50
DV017D;Examensarbete inom besluts-, risk- och policyanalys;15.0;18426;2021;35;0;0.50
BEA700;Examensarbete inom besluts-, risk- och policyanalys;15.0;28411;2022;3;10;0.50
BEA700;Examensarbete inom besluts-, risk- och policyanalys;15.0;18408;2022;45;10;0.50
BEA700;Examensarbete inom besluts-, risk- och policyanalys;15.0;28401;2023;3;10;0.50
BEA700;Examensarbete inom besluts-, risk- och policyanalys;15.0;18436;2023;35;5;0.50
BEA700;Examensarbete inom besluts-, risk- och policyanalys;15.0;28411;2024;3;15;0.50
BEA700;Examensarbete inom besluts-, risk- och policyanalys;15.0;18409;2024;36;5;0.50
BEA700;Examensarbete inom besluts-, risk- och policyanalys;15.0;28411;2025;3;15;0.50
BEA700;Examensarbete inom besluts-, risk- och policyanalys;15.0;18409;2025;36;5;0.50
DVG008;Excelanvändning för praktiskt verksamhetsstöd;7.5;28429;2017;14;62;0.50
DVG008;Excelanvändning för praktiskt verksamhetsstöd;7.5;28402;2018;13;60;0.50
DVG008;Excelanvändning för praktiskt verksamhetsstöd;7.5;28405;2019;14;70;0.50
DVG013;Excelanvändning för verksamhetsstöd;7.5;28417;2020;14;30;0.50
DVG013;Excelanvändning för verksamhetsstöd;7.5;28403;2021;13;33;0.50
DVG013;Excelanvändning för verksamhetsstöd;7.5;28406;2022;13;59;0.50
DVG013;Excelanvändning för verksamhetsstöd;7.5;28420;2023;13;47;0.50
DVG013;Excelanvändning för verksamhetsstöd;7.5;28400;2024;13;40;0.50
DVG013;Excelanvändning för verksamhetsstöd;7.5;28400;2025;13;40;0.50
SBG319;Fastigheter och markanvändning;7.5;17315;2023;35;12;0.50
SBG319;Fastigheter och markanvändning;7.5;17328;2024;36;12;0.50
SBG319;Fastigheter och markanvändning;7.5;17328;2025;36;12;0.50
SBG012;Fastighetsbildningsteknik I;7.5;27313;2016;4;80;0.50
SBG012;Fastighetsbildningsteknik I;7.5;27300;2017;4;70;0.50
SBG012;Fastighetsbildningsteknik I;7.5;27316;2018;3;88;0.50
SBG012;Fastighetsbildningsteknik I;7.5;27306;2019;4;85;0.50
SBG012;Fastighetsbildningsteknik I;7.5;27305;2020;4;60;0.50
SBG012;Fastighetsbildningsteknik I;7.5;27304;2021;3;70;0.50
SBG012;Fastighetsbildningsteknik I;7.5;27301;2022;3;45;0.50
SBG012;Fastighetsbildningsteknik I;7.5;27306;2023;3;59;0.50
SBG012;Fastighetsbildningsteknik I;7.5;27320;2024;3;30;0.50
SBG012;Fastighetsbildningsteknik I;7.5;27320;2025;3;30;0.50
SBG305;Fastighetsbildningsteknik II;7.5;27305;2015;14;40;0.50
SBG305;Fastighetsbildningsteknik II;7.5;27301;2016;14;60;0.50
SBG305;Fastighetsbildningsteknik II;7.5;27305;2017;14;51;0.50
SBG305;Fastighetsbildningsteknik II;7.5;27317;2018;13;54;0.50
SBG305;Fastighetsbildningsteknik II;7.5;27307;2019;14;80;0.50
SBG305;Fastighetsbildningsteknik II;7.5;27306;2020;14;50;0.50
SBG305;Fastighetsbildningsteknik II;7.5;27307;2021;13;50;0.50
SBG305;Fastighetsbildningsteknik II;7.5;27306;2022;13;35;0.50
SBG305;Fastighetsbildningsteknik II;7.5;27308;2023;13;39;0.50
SBG305;Fastighetsbildningsteknik II;7.5;27323;2024;13;30;0.50
SBG305;Fastighetsbildningsteknik II;7.5;27323;2025;13;30;0.50
SBG505;Fastighetsbildningsteknik III;7.5;27309;2018;35;30;0.50
SBG505;Fastighetsbildningsteknik III;7.5;27308;2019;4;30;0.50
SBG505;Fastighetsbildningsteknik III;7.5;27308;2020;4;24;0.50
SBG505;Fastighetsbildningsteknik III;7.5;27308;2021;3;24;0.50
SBG505;Fastighetsbildningsteknik III;7.5;27307;2022;3;19;0.50
SBG505;Fastighetsbildningsteknik III;7.5;27307;2023;3;14;0.50
SBG505;Fastighetsbildningsteknik III;7.5;27318;2024;3;30;0.50
SBG505;Fastighetsbildningsteknik III;7.5;27318;2025;3;30;0.50
SBG506;Fastighetsekonomi för lantmätare;7.5;27308;2018;45;27;0.50
SBG506;Fastighetsekonomi för lantmätare;7.5;27305;2019;4;30;0.50
SBG506;Fastighetsekonomi för lantmätare;7.5;27307;2020;4;24;0.50
SBG506;Fastighetsekonomi för lantmätare;7.5;27309;2021;3;24;0.50
SBG506;Fastighetsekonomi för lantmätare;7.5;27308;2022;3;19;0.50
SBG506;Fastighetsekonomi för lantmätare;7.5;27309;2023;3;14;0.50
SBG506;Fastighetsekonomi för lantmätare;7.5;27322;2024;3;30;0.50
SBG506;Fastighetsekonomi för lantmätare;7.5;27322;2025;3;30;0.50
SBG312;Fastighetssystem nationellt och internationellt;7.5;17325;2017;1;30;0.50
SBG312;Fastighetssystem nationellt och internationellt;7.5;17305;2019;36;25;0.50
SBG312;Fastighetssystem nationellt och internationellt;7.5;17302;2020;36;25;0.50
SBG312;Fastighetssystem nationellt och internationellt;7.5;17302;2021;35;25;0.50
SBG312;Fastighetssystem nationellt och internationellt;7.5;17319;2022;35;16;0.50
SBG312;Fastighetssystem nationellt och internationellt;7.5;17316;2023;35;24;0.50
SBG312;Fastighetssystem nationellt och internationellt;7.5;17324;2024;36;24;0.50
SBG312;Fastighetssystem nationellt och internationellt;7.5;17324;2025;36;24;0.50
SBG553;Fjärr- och GIS-analys;7.5;17325;2020;46;45;0.50
SBG553;Fjärr- och GIS-analys;7.5;17303;2021;45;30;0.50
SBG553;Fjärr- och GIS-analys;7.5;17326;2022;45;47;0.50
SBG553;Fjärr- och GIS-analys;7.5;17327;2022;45;47;0.50
SBG553;Fjärr- och GIS-analys;7.5;17310;2023;45;40;0.50
SBG553;Fjärr- och GIS-analys;7.5;17336;2024;46;40;0.50
SBG553;Fjärr- och GIS-analys;7.5;17336;2025;46;40;0.50
SB211D;Fjärranalys;7.5;17311;2015;46;10;0.50
SB211D;Fjärranalys;7.5;17317;2015;46;10;0.50
SBA014;Fjärranalys;5.0;17302;2019;46;25;0.50
SBA014;Fjärranalys;5.0;17309;2020;46;15;0.50
SBA014;Fjärranalys;5.0;17310;2021;45;18;0.50
SBA014;Fjärranalys;5.0;17308;2022;45;10;0.50
SBA014;Fjärranalys;5.0;17309;2024;46;15;0.25
SBA014;Fjärranalys;5.0;17308;2024;46;15;0.25
SBA303;Fjärranalys;7.5;27336;2024;13;9;0.50
SBA014;Fjärranalys;5.0;17309;2025;46;15;0.25
SBA014;Fjärranalys;5.0;17308;2025;46;15;0.25
SBA303;Fjärranalys;7.5;27336;2025;13;9;0.50
SB281C;Fjärranalys och GIS-analys i land management;7.5;17300;2019;46;10;0.50
SB281C;Fjärranalys och GIS-analys i land management;7.5;17303;2020;46;30;0.50
TMF901F;Forskningsansökningsprocessen;7.5;28406;2023;13;30;0.50
TMF903F;Forskningsmetodologi inom teknik-, natur- och samhällsvetenskap;10.0;28407;2023;3;10;0.50
TMF903F;Forskningsmetodologi inom teknik-, natur- och samhällsvetenskap;10.0;18439;2024;3;10;0.25
TMF903F;Forskningsmetodologi inom teknik-, natur- och samhällsvetenskap;10.0;18439;2025;3;10;0.25
SBA301;Fotogrammetri;7.5;27333;2024;3;4;0.50
SBA301;Fotogrammetri;7.5;27333;2025;3;4;0.50
DVG321;Funktionell programmering och diskret matematik;7.5;28403;2017;45;20;0.50
DVG321;Funktionell programmering och diskret matematik;7.5;28402;2020;14;30;0.50
DVG321;Funktionell programmering och diskret matematik;7.5;28406;2021;13;30;0.50
DVG321;Funktionell programmering och diskret matematik;7.5;28407;2022;13;0;0.50
DVG321;Funktionell programmering och diskret matematik;7.5;28422;2023;13;0;0.50
SBG081;Fysisk detaljplanering;7.5;18604;2019;36;35;0.50
SBG081;Fysisk detaljplanering;7.5;18601;2019;46;60;0.50
SBG081;Fysisk detaljplanering;7.5;18602;2020;36;45;0.50
SBG081;Fysisk detaljplanering;7.5;18603;2020;46;45;0.50
SBG081;Fysisk detaljplanering;7.5;18602;2021;35;36;0.50
SBG081;Fysisk detaljplanering;7.5;18602;2021;45;45;0.50
SBG081;Fysisk detaljplanering;7.5;18603;2022;35;35;0.50
SBG081;Fysisk detaljplanering;7.5;18604;2022;45;53;0.50
SBG081;Fysisk detaljplanering;7.5;18601;2023;35;28;0.50
SBG081;Fysisk detaljplanering;7.5;18603;2023;45;34;0.50
SBG081;Fysisk detaljplanering;7.5;18604;2024;36;34;0.50
SBG081;Fysisk detaljplanering;7.5;18600;2024;46;34;0.50
SBG081;Fysisk detaljplanering;7.5;18604;2025;36;34;0.50
SBG081;Fysisk detaljplanering;7.5;18600;2025;46;34;0.50
SBA315;GIS organisation och projektförvaltning;5.0;17320;2019;36;10;0.50
SBA315;GIS organisation och projektförvaltning;5.0;17307;2020;36;5;0.50
SBA315;GIS organisation och projektförvaltning;5.0;17306;2021;35;5;0.50
SBA315;GIS organisation och projektförvaltning;5.0;17309;2022;35;10;0.50
SBA315;GIS organisation och projektförvaltning;5.0;17323;2023;35;7;0.50
SBA315;GIS organisation och projektförvaltning;5.0;17305;2024;36;7;0.25
SBA315;GIS organisation och projektförvaltning;5.0;17305;2025;36;7;0.25
SB234B;GIS raster/vektor;7.5;17301;2015;36;120;0.50
SB234B;GIS raster/vektor;7.5;17312;2015;36;15;0.50
SB234B;GIS raster/vektor;7.5;17316;2015;36;10;0.50
SBG382;GIS raster/vektor;7.5;17311;2019;36;80;0.50
SBG382;GIS raster/vektor;7.5;17316;2020;36;82;0.50
SBG382;GIS raster/vektor;7.5;17307;2021;35;54;0.50
SBG382;GIS raster/vektor;7.5;17324;2022;35;92;0.50
SBG382;GIS raster/vektor;7.5;17300;2023;35;71;0.50
SBG382;GIS raster/vektor;7.5;17333;2024;36;71;0.50
SBG382;GIS raster/vektor;7.5;17333;2025;36;71;0.50
SBG316;GIS-analys;7.5;17322;2022;35;16;0.50
SBG316;GIS-analys;7.5;17321;2023;35;13;0.50
SBG316;GIS-analys;7.5;17326;2024;36;13;0.50
SBG316;GIS-analys;7.5;17326;2025;36;13;0.50
DVG304;GIS-applikationsutveckling;10.0;28447;2013;4;30;0.50
DVG300;GIS-applikationsutveckling;7.5;28445;2013;14;30;0.50
DVG300;GIS-applikationsutveckling;7.5;28406;2014;4;30;0.50
DVG304;GIS-applikationsutveckling;10.0;28432;2014;4;30;0.50
DVG304;GIS-applikationsutveckling;10.0;28405;2015;11;23;0.50
DVG304;GIS-applikationsutveckling;10.0;28411;2016;10;15;0.50
DVG304;GIS-applikationsutveckling;10.0;28403;2017;10;15;0.50
DVG304;GIS-applikationsutveckling;10.0;28409;2018;10;10;0.50
DVG304;GIS-applikationsutveckling;10.0;28407;2019;10;15;0.50
DVG304;GIS-applikationsutveckling;10.0;28408;2020;9;30;0.50
DVG304;GIS-applikationsutveckling;10.0;28407;2021;6;11;0.50
DVG304;GIS-applikationsutveckling;10.0;28425;2023;3;12;0.50
DVG304;GIS-applikationsutveckling;10.0;28404;2024;3;12;0.25
DVG304;GIS-applikationsutveckling;10.0;28404;2025;3;12;0.25
SBG632;GIS-datastrukturer och algoritmer;5.0;17321;2019;36;25;0.50
SBG632;GIS-datastrukturer och algoritmer;5.0;17317;2020;36;0;0.50
SBG632;GIS-datastrukturer och algoritmer;5.0;17317;2021;35;20;0.50
SBG632;GIS-datastrukturer och algoritmer;5.0;17329;2022;35;10;0.50
SBG632;GIS-datastrukturer och algoritmer;5.0;17303;2024;36;10;0.25
SBG632;GIS-datastrukturer och algoritmer;5.0;17341;2024;36;10;0.25
SBG632;GIS-datastrukturer och algoritmer;5.0;17303;2025;36;10;0.25
SBG632;GIS-datastrukturer och algoritmer;5.0;17341;2025;36;10;0.25
DVG334;GIS-programmering för webb och appar;7.5;28433;2023;3;6;0.50
DVG334;GIS-programmering för webb och appar;7.5;28420;2024;3;6;0.50
DVG334;GIS-programmering för webb och appar;7.5;28420;2025;3;6;0.50
DV047A;GIS-systemering och databaser;7.5;28415;2013;4;30;0.50
DV047A;GIS-systemering och databaser;7.5;28407;2014;4;30;0.50
DV047A;GIS-systemering och databaser;7.5;28406;2015;14;23;0.50
DVG316;GIS-systemering och databaser;7.5;28426;2016;14;21;0.50
DVG316;GIS-systemering och databaser;7.5;28411;2017;14;16;0.50
DVG316;GIS-systemering och databaser;7.5;28410;2018;13;16;0.50
DVG316;GIS-systemering och databaser;7.5;28404;2019;14;20;0.50
DVG316;GIS-systemering och databaser;7.5;28409;2020;14;30;0.50
DVG316;GIS-systemering och databaser;7.5;28415;2022;3;23;0.50
DVG316;GIS-systemering och databaser;7.5;28423;2023;3;39;0.50
DVG316;GIS-systemering och databaser;7.5;28406;2024;3;35;0.50
DVG316;GIS-systemering och databaser;7.5;28406;2025;3;35;0.50
DVG502;GIS-webbtjänster med Open Source;7.5;28408;2014;4;30;0.50
DVG502;GIS-webbtjänster med Open Source;7.5;28407;2015;4;15;0.50
DVG502;GIS-webbtjänster med Open Source;7.5;28410;2016;4;15;0.50
SB236D;GIScience Seminar;7.5;27310;2015;4;10;0.50
SBA001;GIScience Seminar;7.5;27317;2015;4;15;0.50
SBA001;GIScience Seminar;7.5;27317;2016;4;25;0.50
SBA001;GIScience Seminar;7.5;27314;2017;4;4;0.50
SBA024;GIScience seminarium;5.0;27301;2018;3;7;0.50
SBA024;GIScience seminarium;5.0;27309;2019;4;25;0.50
SBA024;GIScience seminarium;5.0;27319;2020;4;15;0.50
SBA024;GIScience seminarium;5.0;27318;2022;3;6;0.50
SBA024;GIScience seminarium;5.0;27317;2023;3;15;0.50
SBA024;GIScience seminarium;5.0;27332;2024;3;13;0.25
SBA024;GIScience seminarium;5.0;27305;2024;3;3;0.25
SBA024;GIScience seminarium;5.0;27332;2025;3;13;0.25
SBA024;GIScience seminarium;5.0;27305;2025;3;3;0.25
SBG300;GIT i Land Management;7.5;17307;2016;36;110;0.50
SBA054;Geodesign och scenarioplanering;5.0;18602;2019;36;10;0.50
SBA054;Geodesign och scenarioplanering;5.0;18600;2020;36;10;0.50
SBA054;Geodesign och scenarioplanering;5.0;18600;2022;35;10;0.50
SBA054;Geodesign och scenarioplanering;5.0;18604;2023;35;7;0.50
SBA054;Geodesign och scenarioplanering;5.0;18601;2024;36;7;0.25
SBA302;Geodetisk deformationsövervakning;7.5;27334;2024;3;3;0.50
SBA054;Geodesign och scenarioplanering;5.0;18601;2025;36;7;0.25
SBA302;Geodetisk deformationsövervakning;7.5;27334;2025;3;3;0.50
SBA010;Geodetisk infrastruktur;7.5;17341;2022;1;3;0.50
SBA010;Geodetisk infrastruktur;7.5;17307;2024;36;3;0.50
SBA010;Geodetisk infrastruktur;7.5;17307;2025;36;3;0.50
SBG315;Geodetisk mätning och beräkning;7.5;27317;2021;13;18;0.50
SBG315;Geodetisk mätning och beräkning;7.5;27311;2022;13;16;0.50
SBG315;Geodetisk mätning och beräkning;7.5;27315;2023;13;12;0.50
SBG315;Geodetisk mätning och beräkning;7.5;27315;2024;13;6;0.50
SBG315;Geodetisk mätning och beräkning;7.5;27315;2025;13;6;0.50
SBG662;Geodetisk mätningsteknik;5.0;27303;2018;13;12;0.50
SBG662;Geodetisk mätningsteknik;5.0;27313;2019;14;15;0.50
SBG662;Geodetisk mätningsteknik;5.0;27301;2020;14;2;0.50
SBG662;Geodetisk mätningsteknik;5.0;27314;2022;13;3;0.50
SBG662;Geodetisk mätningsteknik;5.0;27312;2023;13;10;0.50
SBG662;Geodetisk mätningsteknik;5.0;27319;2024;13;30;0.25
SBG662;Geodetisk mätningsteknik;5.0;27319;2025;13;30;0.25
SBG314;Geodetisk mätosäkerhetsteori och nätutjämning;7.5;17308;2019;46;35;0.50
SBG314;Geodetisk mätosäkerhetsteori och nätutjämning;7.5;17304;2020;46;35;0.50
SBG314;Geodetisk mätosäkerhetsteori och nätutjämning;7.5;17304;2021;45;25;0.50
SBG314;Geodetisk mätosäkerhetsteori och nätutjämning;7.5;17321;2022;45;23;0.50
SBG314;Geodetisk mätosäkerhetsteori och nätutjämning;7.5;17303;2023;45;25;0.50
SBG314;Geodetisk mätosäkerhetsteori och nätutjämning;7.5;17325;2024;46;25;0.50
SBG314;Geodetisk mätosäkerhetsteori och nätutjämning;7.5;17325;2025;46;25;0.50
SBG324;Geodetisk mätvärdesbehandling;7.5;27327;2023;3;3;0.50
SBG324;Geodetisk mätvärdesbehandling;7.5;27316;2024;3;1;0.50
SBG324;Geodetisk mätvärdesbehandling;7.5;27316;2025;3;1;0.50
SBG308;Geodetiska beräkningsmetoder;7.5;27307;2016;1;80;0.50
SBG308;Geodetiska beräkningsmetoder;7.5;27310;2017;4;69;0.50
SBG308;Geodetiska beräkningsmetoder;7.5;27318;2018;3;75;0.50
SBG308;Geodetiska beräkningsmetoder;7.5;27310;2019;4;55;0.50
SBG308;Geodetiska beräkningsmetoder;7.5;27309;2020;4;50;0.50
SBG308;Geodetiska beräkningsmetoder;7.5;27312;2021;3;55;0.50
SBG308;Geodetiska beräkningsmetoder;7.5;27305;2022;3;34;0.50
SBG308;Geodetiska beräkningsmetoder;7.5;27310;2023;3;34;0.50
SBG308;Geodetiska beräkningsmetoder;7.5;27313;2024;3;12;0.50
SBG308;Geodetiska beräkningsmetoder;7.5;27313;2025;3;12;0.50
SB204B;Geodetiska fältövningar;7.5;17306;2019;36;35;0.50
SB204B;Geodetiska fältövningar;7.5;17300;2020;36;35;0.50
SBG326;Geodetiska fältövningar;7.5;17323;2022;35;25;0.50
SBG326;Geodetiska fältövningar;7.5;17318;2023;35;28;0.50
SBG326;Geodetiska fältövningar;7.5;17331;2024;36;28;0.50
SBG326;Geodetiska fältövningar;7.5;17331;2025;36;28;0.50
SB203B;Geodetiska mätinstrument;7.5;27306;2015;14;30;0.50
SB203B;Geodetiska mätinstrument;7.5;27312;2016;14;50;0.50
SB203B;Geodetiska mätinstrument;7.5;27306;2017;14;25;0.50
SB203B;Geodetiska mätinstrument;7.5;27319;2018;13;36;0.50
SB203B;Geodetiska mätinstrument;7.5;27311;2019;14;45;0.50
SB203B;Geodetiska mätinstrument;7.5;27310;2020;14;25;0.50
SB203B;Geodetiska mätinstrument;7.5;27303;2021;13;25;0.50
SB203B;Geodetiska mätinstrument;7.5;27309;2022;13;19;0.50
SB203B;Geodetiska mätinstrument;7.5;27313;2023;13;15;0.50
SB203B;Geodetiska mätinstrument;7.5;27301;2024;13;30;0.50
SB203B;Geodetiska mätinstrument;7.5;27301;2025;13;30;0.50
SB306C;Geodetiska referenssystem;7.5;27300;2016;4;30;0.50
SB306C;Geodetiska referenssystem;7.5;27307;2017;4;32;0.50
SB306C;Geodetiska referenssystem;7.5;27325;2018;3;26;0.50
SB306C;Geodetiska referenssystem;7.5;27312;2019;4;30;0.50
SB306C;Geodetiska referenssystem;7.5;27311;2020;4;32;0.50
SB306C;Geodetiska referenssystem;7.5;27305;2021;3;23;0.50
SBG209;Geodetiska referenssystem;7.5;27310;2022;3;17;0.50
SBG209;Geodetiska referenssystem;7.5;27314;2023;3;17;0.50
SBG209;Geodetiska referenssystem;7.5;27311;2024;3;13;0.50
SBG209;Geodetiska referenssystem;7.5;27311;2025;3;13;0.50
SB230A;Geografisk informationsteknik;7.5;27308;2015;4;40;0.50
SB230A;Geografisk informationsteknik;7.5;27308;2016;4;45;0.50
SB230A;Geografisk informationsteknik;7.5;37300;2016;24;100;0.50
SB230A;Geografisk informationsteknik;7.5;27313;2017;4;33;0.50
SBG051;Geografisk informationsteknik;7.5;27300;2018;3;36;0.50
SBG051;Geografisk informationsteknik;7.5;27314;2019;4;47;0.50
SBG051;Geografisk informationsteknik;7.5;17312;2019;36;35;0.50
SBG051;Geografisk informationsteknik;7.5;17313;2019;46;75;0.50
SBG051;Geografisk informationsteknik;7.5;27313;2020;4;48;0.50
SBG051;Geografisk informationsteknik;7.5;17305;2020;36;31;0.50
SBG051;Geografisk informationsteknik;7.5;17308;2020;46;60;0.50
SBG051;Geografisk informationsteknik;7.5;27310;2021;3;36;0.50
SBG051;Geografisk informationsteknik;7.5;17305;2021;35;23;0.50
SBG051;Geografisk informationsteknik;7.5;17305;2021;45;30;0.50
SBG051;Geografisk informationsteknik;7.5;17324;2021;45;25;0.50
SBG051;Geografisk informationsteknik;7.5;27317;2022;3;37;0.50
SBG051;Geografisk informationsteknik;7.5;17314;2022;35;0;0.50
SBG051;Geografisk informationsteknik;7.5;17315;2022;35;38;0.50
SBG051;Geografisk informationsteknik;7.5;17316;2022;45;55;0.50
SBG051;Geografisk informationsteknik;7.5;27316;2023;3;28;0.50
SBG051;Geografisk informationsteknik;7.5;17311;2023;45;60;0.50
SBG051;Geografisk informationsteknik;7.5;27309;2024;3;35;0.50
SBG051;Geografisk informationsteknik;7.5;17319;2024;36;60;0.50
SBG051;Geografisk informationsteknik;7.5;17318;2024;36;60;0.50
SBG051;Geografisk informationsteknik;7.5;17317;2024;36;60;0.50
SBG051;Geografisk informationsteknik;7.5;17320;2024;46;60;0.50
SBG051;Geografisk informationsteknik;7.5;17319;2025;36;60;0.50
SBG051;Geografisk informationsteknik;7.5;17318;2025;36;60;0.50
SBG051;Geografisk informationsteknik;7.5;17317;2025;36;60;0.50
SBG051;Geografisk informationsteknik;7.5;17320;2025;46;60;0.50
SB232D;Geografisk informationsteknik - projekt;7.5;27309;2015;4;10;0.00
SB232D;Geografisk informationsteknik - projekt;7.5;27316;2016;4;25;0.50
SB232D;Geografisk informationsteknik - projekt;7.5;27311;2017;4;4;0.50
SBG061;Geovetenskap;7.5;28500;2018;13;62;0.50
SBG061;Geovetenskap;7.5;28501;2019;14;70;0.50
SBG061;Geovetenskap;7.5;28501;2020;14;80;0.50
